DISCIPLINA,CODIGO,TURMA,SALA,DIA1,HORARIO1,DIA2,HORARIO2
TQB - HETEROCICLICOS BIOATIVOS: FUNDAMENTOS E APLICACOES,QUI014,TN,1021,3a,15:25 - 17:05,5a,15:25 - 17:05
TQB - INTRODUCAO A PESQUISA EM ENSINO DE QUIMICA,QUI014,TV,1001 - QUI,2a,17:10 - 18:50,4a,17:10 - 18:50
TQB - ASPECTOS HISTORICOS E DA NATUREZA DA CIENCIA NO ENSINO DE QUIMICA,QUI014,TZ,2060,3a,17:00 - 18:40,5a,17:00 - 18:40
INTRODUCAO A BIOQUIMICA,QUI035,TF,1018,3a,20:55 - 22:35,5a,19:00 - 20:40
FUNDAMENTOS DE QUIMICA ANALITICA,QUI051,TB,1017,6a,07:30 - 10:15
FUNDAMENTOS DE QUIMICA ANALITICA,QUI051,TF,126 - QUI,5a,19:00 - 20:40,6a,19:00 - 19:50
ANALISE QUALITATIVA,QUI053,PA,2031,6a,07:30 - 10:10
ANALISE QUALITATIVA,QUI053,PF,2059,6a,19:00 - 21:45
ANALISE QUALITATIVA,QUI053,PN,1011,6a,16:10 - 18:40
ANALISE QUANTITATIVA,QUI055,PA,2030,6a,07:30 - 10:15
ANALISE QUANTITATIVA,QUI055,PE,1015,3a,19:00 - 21:45
ANALISE QUANTITATIVA,QUI055,PM,1025,6a,13:00 - 15:45
ANALISE QUANTITATIVA,QUI055,TA,2072,3a,09:25 - 11:05
ANALISE QUANTITATIVA,QUI055,TF,2072,4a,20:55 - 22:35
QUIMICA QUANTICA,QUI057,TM,126 - QUI,3a,13:50 - 15:45,5a,13:50 - 15:45
QUIMICA ORGANICA III,QUI059,TB,1014,2a,09:25 - 11:05,4a,09:25 - 11:05
QUIMICA ORGANICA III,QUI059,TE,126 - QUI,2a,19:00 - 20:40,4a,20:55 - 22:35
METODOS FISICOS DE ANALISE I,QUI060,TA,1022,3a,07:30 - 09:10,5a,07:30 - 09:10
HISTORIA DA QUIMICA A,QUI062,TE,1018,6a,20:55 - 22:35
TQC - QUIMICA ORGANICA BIOLOGICA,QUI084,TN,2007,3a,15:45 - 17:25,5a,15:45 - 17:25
TQE - INTRODUCAO A CORROSAO,QUI086,TM,1016,3a,16:30 - 18:10,5a,16:30 - 18:10
TQH - QUIMICA FORENSE,QUI089,TN,1022,2a,13:50 - 16:20
TQJ - ANALISE DE COMBUSTIVEIS DERIVADOS DO PETROLEO,QUI091,PM,Lab. QUI,5a,13:50 - 15:45
TQJ - ESPECIACAO QUIMICA,QUI091,PN,2060,3a,13:30 - 15:10
TQJ - DETERMINACAO DE POLUENTES ORGANICOS,QUI091,PO,264 - QUI,2a,15:25 - 17:05
TQL - FISICO QUIMICA ORGANICA,QUI093,TB,2071,3a,09:25 - 11:05
TQL - PLANEJAMENTO DE CARREIRAS,QUI093,TF,2007,2a,13:00 - 14:40
TQL - TERMODINAMICA ESTATISTICA,QUI093,TM,2071,5a,13:30 - 15:10
HISTORIA DA QUIMICA B,QUI097,TF,1016,5a,13:50 - 15:30
QUIMICA FUNDAMENTAL I,QUI099,TM,1022,3a,13:30 - 15:10,5a,13:10 - 14:50
QUIMICA FUNDAMENTAL II,QUI100,TM,1021,2a,14:00 - 15:40,5a,09:25 - 11:05
QUIMICA PARA CIENCIAS BIOLOGICAS,QUI142,TA1,2071,4a,08:00 - 09:40,6a,08:00 - 09:40
QUIMICA PARA CIENCIAS BIOLOGICAS,QUI142,TA2,2072,4a,08:00 - 09:40,6a,08:00 - 09:40
QUIMICA PARA CIENCIAS BIOLOGICAS,QUI142,TE1,1025,5a,19:00 - 22:35
QUIMICA PARA CIENCIAS BIOLOGICAS,QUI142,TE2,1026,5a,19:00 - 22:35
QUIMICA GERAL C,QUI143,TB,2032,2a,09:25 - 11:05,4a,09:25 - 11:05
QUIMICA GERAL C,QUI143,TE,1023,3a,19:00 - 20:40,6a,19:00 - 20:40
CICLO DE PALESTRAS A,QUI145,TC,AUD. I - QUI,5a,10:15 - 11:05
CICLO DE PALESTRAS A,QUI145,TE,AUD. I - QUI,5a,19:00 - 19:50
QUIMICA INORGANICA CI,QUI147,TF,1023,3a,20:55 - 22:35,5a,19:00 - 20:40
QUIMICA ORGANICA CI,QUI150,TB,124 - QUI,2a,09:25 - 11:05,4a,09:25 - 11:05
QUIMICA ORGANICA CI,QUI150,TF,126 - QUI,3a,19:00 - 20:40,5a,20:55 - 22:35
FISICO-QUIMICA CI,QUI151,TB,1020,3a,09:25 - 11:05,5a,09:25 - 11:05
FISICO-QUIMICA CI,QUI151,TF,2060,2a,20:55 - 22:35,4a,19:00 - 20:40
QUIMICA ORGANICA CII,QUI189,TE,1011,3a,19:00 - 20:40,5a,20:55 - 22:35
FISICO-QUIMICA CII,QUI190,TE,126 - QUI,3a,20:55 - 22:35,4a,19:00 - 20:40
OPERACOES UNITARIAS A,QUI192,TF,2030,2a,20:55 - 22:35,5a,19:00 - 19:50
BIOTECNOLOGIA AMBIENTAL,QUI194,TE,2059,4a,19:00 - 22:35
CINETICA QUIMICA,QUI198,TB,1022,5a,09:25 - 11:05
CINETICA QUIMICA,QUI198,TF,2071,4a,20:55 - 22:35
INTRODUCAO A ESTRUTURA DA MATERIA,QUI199,TM,2072,3a,13:50 - 15:45,5a,13:50 - 15:45
INSTRUMENTACAO PARA O ENSINO DE QUIMICA CI,QUI200,TE,1001 - QUI,3a,15:45 - 17:00,5a,15:45 - 17:00
OPERACOES UNITARIAS B,QUI201,TF,1021,2a,15:45 - 18:15
QUIMICA GERAL F,QUI203,TA,1023,2a,07:30 - 09:10,4a,07:30 - 09:10
QUIMICA GERAL F,QUI203,TB,1023,2a,09:25 - 11:05,4a,09:25 - 11:05
QUIMICA GERAL F,QUI203,TF1,1022,4a,19:00 - 20:40,5a,20:55 - 22:35
QUIMICA GERAL F,QUI203,TF2,1023,4a,19:00 - 20:40,5a,20:55 - 22:35
QUIMICA INORGANICA F,QUI205,TB,2055,6a,09:25 - 11:55
QUIMICA INORGANICA F,QUI205,TE,1014,5a,19:00 - 19:50,6a,20:55 - 22:35
QUIMICA ORGANICA I F,QUI207,TE1,1019,3a,19:00 - 20:40,4a,19:00 - 20:40
QUIMICA ORGANICA I F,QUI207,TE2,1018,3a,19:00 - 20:40,4a,19:00 - 20:40
QUIMICA ORGANICA I F,QUI207,TO,1021,4a,14:55 - 16:35,6a,14:55 - 16:35
QUIMICA ORGANICA I F,QUI207,TP,1021,4a,13:00 - 14:40,6a,13:00 - 14:40
QUIMICA ANALITICA F,QUI208,TE,2009,3a,20:55 - 22:35,4a,19:00 - 19:50
QUIMICA ANALITICA F,QUI208,TO,1019,4a,13:00 - 14:40,6a,13:00 - 14:40
QUIMICA ANALITICA F,QUI208,TP,1019,4a,14:55 - 16:35,6a,14:55 - 16:35
QUIMICA ORGANICA II F,QUI209,TE,1017,3a,20:55 - 22:35,6a,19:00 - 20:40
QUIMICA ORGANICA II F,QUI209,TO,2300 - ENG. BLOCO 4,2a,14:55 - 16:35,4a,14:55 - 16:35
